t,A(t),B(t),C(t),Sum,e_{-k1},e_{-k2}
1.0,1.0,0.0,0.0,1.0,1.0,1.0
2.0,0.99,0.010000000000000009,0.0,1.0,0.99,0.98
4.0,0.9702,0.02939999999999998,0.00040000000000006697,1.0,0.9702,0.9408
8.0,0.9313919999999999,0.06585599999999991,0.0027520000000001987,1.0,0.9313919999999999,0.865536
16.0,0.85688064,0.1298304,0.013288960000000016,1.0,0.85688064,0.72705024
32.0,0.7197797375999999,0.2253855744,0.054834688000000076,1.0,0.7197797375999999,0.4943941631999999
